PEPSICO, INC.  131584302 -- BusinessCode: 311400 -- NY : PURCHASE
           = OTHER          $    325,000,000
  [Pension] PEPSICO, INC. EMPLOYEES RETIREMENT PLAN H [131584302-121]
    2022    https://efast2-filings-public.s3.amazonaws.com/prd/2023/10/2/20231002151910NAL0016898657001.pdf
        Participants: 76,364  Average: $51,322
        Assets: $3,919,184,000
        Service Providers:
           - FIDELITY INSTI ASSET MGMT : $5,203,258   (Investment management fees paid directly by plan)
           - NISA : $1,421,262   (Investment management fees paid directly by plan)
           - NORTHERN TRUST COMPANY : $1,366,692   (Trustee(bank, trust company, or similar) | Recordkeeper)
           - STATE STREET : $1,350,355   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MERCER : $1,348,629   (Actuarial)
           - MFS INSTITUTIONAL ADVISORS : $1,341,665   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MARATHON ASSET MANAGEMENT : $1,141,732   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - DODGE AND COX : $935,394   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - ALTRINSIC GLOBAL ADVISORS : $767,146   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JP MORGAN INVESTMENT MANAGEMENT : $767,012   (Investment management fees paid directly by plan)
           - CAMBRIDGE ADVISORY GROUP : $696,548   (Actuarial)
           - PEPSICO, INC. : $689,189  EMPLOYER (Plan Administrator)
           - WILLIAM BLAIR & CO : $649,998   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - LOOMIS SAYLES : $649,060   (Investment management fees paid directly by plan)
           - JENNISON ASSOCIATES : $621,034   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - WELLINGTON MANAGEMENT CO LLP : $565,762   (Investment management fees paid directly by plan)
           - TIMES SQUARE CAPITAL MANAGEMENT LLC : $538,796   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JP MORGAN CHASE BANK : $488,373   (Trustee(bank, trust company, or similar))
           - PGIM INC : $481,956   (Investment management fees paid directly by plan)
           - ARIEL CAPITAL : $291,890   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - RUSSELL IMPLEMENTATION SERVICES : $203,933   (Investment management | Securities brokerage commissions and fees)
           - PRUDENTIAL BANK & TRUST COMPANY : $184,379   (Investment management)
           - DIMENSIONAL FUND ADVISORS : $178,558   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JAMESTOWN PREMIER PROPERTY FUND : $170,742   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - VONTOBEL USA INC : $167,737   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - HEALTH AND PRODUCTIVITY CONSULTING : $143,809   (Consulting(general))
           - TOWERS WATSON INVESTMENT SERVICES : $142,196   (Consulting(pension))
           - KPMG, LLP : $132,070   (Accounting(including auditing))
           - WILLIS TOWERS WATSON : $114,277   (Actuarial)
           - PAYDEN & RYGEL : $92,042   (Investment management fees paid directly by plan)
           - PUGH CAPITAL MGMT INC : $76,180   (Investment management fees paid directly by plan)
           - METROPOLITAN LIFE INSURANCE : $47,981   (Insurance services)
           - JOHN HANCOCK MUTUAL LIFE INS CO : $33,169   (Insurance services)
           - KILPATRICK STOCKTON : $29,674   (Legal)
           - BANCO POPULAR : $28,827   (Recordkeeper | Trustee(bank, trust company, or similar))
           - ACOSTA & RAMIREZ : $14,950   (Legal)
           - THOMPSON COBURN LLP : $7,357   (Legal)
           - BLACKROCK INSTITUTIONAL ADVISORS : $423   (Investment management fees paid directly by plan)
           = TOTAL FEES: $23,084,055 (or $302 per partipant)
        Available Investments:
           - PEPSICO, INC.
                 : PEPSICO, INC. DB MASTER TRUST  [412205169-120] M  $3,648,113,000
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + MFO BLACKROCK MSCI ACWI ESG FOCUS  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + CF JPMCB GLOBAL EMERGING MKTS DISCO  C
                    + JPMCB STATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + GQG PARTNERS INTL EQUITY FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
                    + SILCHESTER INTERNATIONAL INV INTL V  C
                    + STATE STREET MIDCAP INDEX FUND  C
                 : PR PEPSICO, INC. RETIRE PLANS TRUST  [660758419-122] M  $21,071,000
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + MFO BLACKROCK MSCI ACWI ESG FOCUS  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + CF JPMCB GLOBAL EMERGING MKTS DISCO  C
                    + JPMCB STRATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + GQG PARTNERS INTL EQUITY FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
                    + SILCHESTER INTERNATIONAL INVESTORS  C
                    + STATE STREET MIDCAP INDEX FUND  C
           = SUBTOTAL       $  3,669,184,000
           = OTHER          $    250,000,000
    2021    https://efast2-filings-public.s3.amazonaws.com/prd/2022/10/3/20221003163158NAL0007827251001.pdf
        Participants: 74,962  Average: $68,989
        Assets: $5,171,604,000
        Service Providers:
           - FIDELITY INSTI ASSET MGMT : $4,126,222   (Investment management fees paid directly by plan)
           - STATE STREET : $1,360,536   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MARATHON ASSET MANAGEMENT : $1,336,023   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MERCER : $1,267,611   (Actuarial)
           - ALTRINSIC GLOBAL ADVISORS : $1,063,891   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - TIMES SQUARE CAPITAL MANAGEMENT LLC : $1,034,410   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - MFS INSTITUTIONAL ADVISORS : $984,710   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JENNISON ASSOCIATES : $768,484   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - NISA : $727,920   (Investment management fees paid directly by plan)
           - JP MORGAN INVESTMENT MANAGEMENT : $599,543   (Investment management fees paid directly by plan)
           - CAMBRIDGE ADVISORY GROUP : $563,880   (Actuarial)
           - BLACKROCK INSTITUTIONAL ADVISORS : $448,164   (Investment management fees paid directly by plan)
           - DODGE AND COX : $433,590   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - PEPSICO, INC. : $327,517  EMPLOYER (Plan Administrator)
           - ARIEL CAPITAL : $286,540   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - WELLINGTON MANAGEMENT CO LLP : $271,116   (Investment management fees paid directly by plan)
           - VONTOBEL USA INC : $241,328   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - PGIM INC : $223,323   (Investment management fees paid directly by plan)
           - WILLIAM BLAIR & CO : $222,273   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - NORTHERN TRUST COMPANY : $207,574   (Trustee(bank, trust company, or similar) | Recordkeeper)
           - DIMENSIONAL FUND ADVISORS : $158,266   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - JAMESTOWN PREMIER PROPERTY FUND : $137,031   (Investment management fees paid directly by plan | 'Soft dollars' commissions)
           - PRUDENTIAL BANK & TRUST COMPANY : $131,903   (Investment management)
           - TOWERS WATSON INVESTMENT SERVICES : $121,593   (Consulting(pension))
           - HEITMAN : $117,180   (Investment management fees paid directly by plan)
           - RUSSELL IMPLEMENTATION SERVICES : $115,727   (Investment management | Securities brokerage commissions and fees)
           - HEALTH AND PRODUCTIVITY CONSULTING : $104,407   (Consulting(general))
           - LOOMIS SAYLES : $93,910   (Investment management fees paid directly by plan)
           - JP MORGAN CHASE BANK : $90,424   (Trustee(bank, trust company, or similar))
           - KPMG, LLP : $75,421   (Accounting(including auditing))
           - ACOSTA & RAMIREZ : $38,447   (Legal)
           - KILPATRICK STOCKTON : $38,003   (Legal)
           - BANCO POPULAR : $19,950   (Recordkeeper | Trustee(bank, trust company, or similar))
           - JOHN HANCOCK MUTUAL LIFE INS CO : $19,934   (Insurance services)
           - METROPOLITAN LIFE INSURANCE : $12,488   (Insurance services)
           = TOTAL FEES: $17,769,339 (or $237 per partipant)
        Available Investments:
           - PEPSICO, INC.
                 : PEPSICO, INC. DB MASTER TRUST  [412205169-120] M  $5,136,597,000
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + MFO BLACKROCK MSCI ACWI ESG FOCUS  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + CF JPMCB GLOBAL EMERGING MKTS DISCO  C
                    + JPMCB STATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + GQG PARTNERS INTL EQUITY FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
                    + SILCHESTER INTERNATIONAL INV INTL V  C
                    + STATE STREET MIDCAP INDEX FUND  C
                 : PR PEPSICO, INC. RETIRE PLANS TRUST  [660758419-122] M  $4,007,000
                    + BLACKROCK EMERGING MRKTS INDEX FUND  C
                    + BLACKROCK EQUITY INDEX FUND  C
                    + MFO BLACKROCK MSCI ACWI ESG FOCUS  C
                    + DFA U.S. MICRO CAP TRUST  C
                    + CF JPMCB GLOBAL EMERGING MKTS DISCO  C
                    + JPMCB STRATEGIC PROPERTY FUND  P
                        + 1-3 YEAR GOVERNMENT CREDIT BOND IND  C
                        + BLACKROCK EAFE EQUITY INDEX FD  C
                        + BLACKROCK MSCI EMERGING MARKETS FD  C
                        + BLACKROCK R1000 GROWTH FUND  C
                        + BLACKROCK R1000 VALUE INDEX FUND  C
                        + BLACKROCK R2000 EQUITY INDEX FUND  C
                        + BLACKROCK US DEBT INCOME FUND  C
                        + INTERMEDIATE GOVERNMENT BOND INDEX  C
                        + INTERMEDIATE TERM CREDIT BOND INDEX  C
                        + LONG TERM CREDIT BOND INDEX FUND  C
                        + LONG TERM GOVERNMENT BOND INDEX FD  C
                        + MSCI EQ INDEX FD - JAPAN  C
                        + SHORT-TERM INVESTMENT FUND  C
                        + GQG PARTNERS INTL EQUITY FUND  C
                        + JPM US ACTIVE CORE PLUS EQUITY FUND  C
                        + JPMC CORE BOND FUND  C
                        + JPMC LONG DURATION CREDIT FUND  C
                        + JPMC LIQUIDITY FUND  C
                        + JPMC MORTGAGE PRIVATE FUND  C
                        + JPMCB INTERNATIONAL RATES FUND  C
                    + MARATHON-LONDON INTERNATIONAL FUND  C
                    + NTGI COLTV GOVT STIF  C
                    + PRISA  P
                    + SILCHESTER INTERNATIONAL INVESTORS  C
                    + STATE STREET MIDCAP INDEX FUND  C
           = SUBTOTAL       $  5,140,604,000
           = OTHER          $     31,000,000
  [401(k), Employee Stock Ownership Plan] THE PEPSICO SAVINGS PLAN [131584302-203]
    2023  [codes: 2E2F2J2R3H2I2O2G2K2S2A2T]    https://efast2-filings-public.s3.amazonaws.com/prd/2024/6/17/20240617134659NAL0003255266001.pdf
        Participants: 174,823  Average: $78,086
        Assets: $13,651,296,000
        Contributions - employee: $   4,055 per participant
                      - employer: $   2,068 per participant
        Loans                   : $   1,594 per participant
        Service Providers:
           - FIDELITY INVTS. INSTL. OPS. CO LLC : $1,951,896  RECORDKEEPER (Recordkeeping fees | Participant loan processing | Account maintenance fees | Securities brokerage commissions and fees)
           = TOTAL FEES: $1,951,896 (or $11 per partipant)
        Available Investments:
           - PEPSICO, INC.
                 : PEPSICO, INC. DC PLANS MASTER TRUST  [043483429-211] M  $13,335,034,000
           = SUBTOTAL       $ 13,335,034,000
           = OTHER          $    316,262,000
    2022    https://efast2-filings-public.s3.amazonaws.com/prd/2023/6/21/20230621060954NAL0000460672001.pdf
        Participants: 166,853  Average: $72,322
        Assets: $12,067,222,000
        Contributions - employee: $   4,002 per participant
                      - employer: $   1,683 per participant
        Loans                   : $   1,534 per participant
        Service Providers:
           - FIDELITY INVTS. INSTL. OPS. CO LLC : $1,820,110  RECORDKEEPER (Recordkeeping fees | Participant loan processing | Account maintenance fees | Securities brokerage commissions and fees)
           = TOTAL FEES: $1,820,110 (or $10 per partipant)
        Available Investments:
           - PEPSICO, INC.
                 : PEPSICO, INC. DC PLANS MASTER TRUST  [043483429-211] M  $11,787,830,000
                    + LIFEPATH INDEX 2030  C
                    + INTERNATIONAL EQUITY INDEX  C
                    + LARGECAP EQUITY INDEX  C
                    + LIFEPATH INDEX 2025  C
                    + LIFEPATH INDEX 2035  C
                    + LIFEPATH INDEX 2040  C
                    + LIFEPATH INDEX 2045  C
                    + LIFEPATH INDEX 2050  C
                    + LIFEPATH INDEX 2055  C
                    + LIFEPATH INDEX 2060  C
                    + LIFEPATH INDEX 2065  C
                    + LIFEPATH INDEX RET  C
                    + SMALL CAP EQUITY INDEX  C
                    + TOTAL US EQUITY INDEX  C
                    + US BOND INDEX  C
                    + MIDCAP EQUITY INDEX  C
                    + DODGE & COX BOND  P
                    + WELLINGTON MID-CAP OPPS  C
           = SUBTOTAL       $ 11,787,830,000
           = OTHER          $    279,392,000
    2021    https://efast2-filings-public.s3.amazonaws.com/prd/2022/6/17/20220617170304NAL0068399602001.pdf
        Participants: 162,498  Average: $87,851
        Assets: $14,275,760,000
        Contributions - employee: $   3,798 per participant
                      - employer: $   1,513 per participant
        Loans                   : $   1,594 per participant
        Service Providers:
           - FIDELITY INVTS. INSTL. OPS. CO LLC : $1,607,914  RECORDKEEPER (Recordkeeping fees | Participant loan processing | Account maintenance fees | Securities brokerage commissions and fees)
           - FIDELITY INVTS. INSTL. OPS. CO LLC : $166  PRIME BROKER (Securities brokerage commissions and fees)
           = TOTAL FEES: $1,608,080 (or $9 per partipant)
        Available Investments:
           - PEPSICO, INC.
                 : PEPSICO, INC. DC PLANS MASTER TRUST  [043483429-211] M  $14,001,634,000
                    + LIFEPATH INDEX 2030  C
                    + INTERNATIONAL EQUITY INDEX  C
                    + LARGECAP EQUITY INDEX  C
                    + LIFEPATH INDEX 2025  C
                    + LIFEPATH INDEX 2035  C
                    + LIFEPATH INDEX 2040  C
                    + LIFEPATH INDEX 2045  C
                    + LIFEPATH INDEX 2050  C
                    + LIFEPATH INDEX 2055  C
                    + LIFEPATH INDEX 2060  C
                    + LIFEPATH INDEX 2065  C
                    + LIFEPATH INDEX RET  C
                    + SMALL CAP EQUITY INDEX  C
                    + TOTAL US EQUITY INDEX  C
                    + US BOND INDEX  C
                    + MIDCAP EQUITY INDEX  C
                    + DODGE & COX BOND  P
                    + WELLINGTON MID-CAP OPPS  C
           = SUBTOTAL       $ 14,001,634,000
           = OTHER          $    274,126,000
    2020    https://efast2-filings-public.s3.amazonaws.com/prd/2021/6/16/20210616163514NAL0001385443001.pdf
        Participants: 155,027  Average: $80,677
        Assets: $12,507,157,000
        Contributions - employee: $   3,635 per participant
                      - employer: $   1,452 per participant
        Loans                   : $   1,700 per participant
        Service Providers:
           - FIDELITY INVTS. INSTL. OPS. CO INC : $1,728,009  RECORDKEEPER (Recordkeeping fees | Participant loan processing | Account maintenance fees | Securities brokerage commissions and fees)
           = TOTAL FEES: $1,728,009 (or $11 per partipant)
        Available Investments:
           - PEPSICO, INC.
                 : PEPSICO, INC. DC PLANS MASTER TRUST  [043483429-211] M  $12,231,178,000
                    + LIFEPATH INDEX 2030  C
                    + INTERNATIONAL EQUITY INDEX  C
                    + LARGECAP EQUITY INDEX  C
                    + LIFEPATH INDEX 2025  C
                    + LIFEPATH INDEX 2035  C
                    + LIFEPATH INDEX 2040  C
                    + LIFEPATH INDEX 2045  C
                    + LIFEPATH INDEX 2050  C
                    + LIFEPATH INDEX 2055  C
                    + LIFEPATH INDEX 2060  C
                    + LIFEPATH INDEX 2065  C
                    + LIFEPATH INDEX RET  C
                    + SMALL CAP EQUITY INDEX  C
                    + TOTAL US EQUITY INDEX  C
                    + US BOND INDEX  C
                    + MIDCAP EQUITY INDEX  C
                    + WELLINGTON MID-CAP OPPS  C
           = SUBTOTAL       $ 12,231,178,000
           = OTHER          $    275,979,000
    2019    https://efast2-filings-public.s3.amazonaws.com/prd/2020/6/22/20200622072921NAL0001142768001.pdf
        Participants: 146,924  Average: $76,860
        Assets: $11,292,672,000
        Contributions - employee: $   3,398 per participant
                      - employer: $   1,351 per participant
        Loans                   : $   1,812 per participant
        Service Providers:
           - FIDELITY INVTS. INSTL. OPS. CO INC : $2,154,680  RECORDKEEPER (Recordkeeping fees | Participant loan processing | Account maintenance fees | Securities brokerage commissions and fees)
           = TOTAL FEES: $2,154,680 (or $14 per partipant)
        Available Investments:
           - PEPSICO, INC.
                 : PEPSICO, INC. DC PLANS MASTER TRUST  [043483429-211] M  $11,015,602,000
                    + LIFEPATH INDEX 2030  C
                    + INTERNATIONAL EQUITY INDEX  C
                    + LARGECAP EQUITY INDEX  C
                    + LIFEPATH INDEX 2025  C
                    + LIFEPATH INDEX 2035  C
                    + LIFEPATH INDEX 2040  C
                    + LIFEPATH INDEX 2045  C
                    + LIFEPATH INDEX 2050  C
                    + LIFEPATH INDEX 2055  C
                    + LIFEPATH INDEX 2060  C
                    + LIFEPATH INDEX 2065  C
                    + LIFEPATH INDEX RET  C
                    + SMALL CAP EQUITY INDEX  C
                    + TOTAL US EQUITY INDEX  C
                    + US BOND INDEX  C
                    + MIDCAP EQUITY INDEX  C
                    + WELLINGTON MID-CAP OPPS  C
           = SUBTOTAL       $ 11,015,602,000
           = OTHER          $    277,070,000
  [Other] PEPSICO PUERTO RICO SAVINGS AND RETIREMENT PLAN [131584302-207]
    2023  [codes: 3C2E2G2F2T3H]    https://efast2-filings-public.s3.amazonaws.com/prd/2024/6/17/20240617134758NAL0002053184001.pdf
        Participants: 556  Average: $12,564
        Assets: $6,985,961
        Contributions - employee: $   1,481 per participant
                      - employer: $   1,587 per participant
        Loans                   : $         per participant
        Service Providers:
           - FIDELITY INVESTMENTS INSTL OPS CO : $0  RECORDKEEPER (Recordkeeping fees)
        Available Investments:
           - BLACKROCK INSTITUTIONAL TRUST COMPANY NA
                 : INTERNATIONAL EQUITY INDEX  [263816235-001] C  $28,996
                 : LARGE CAP EQUITY INDEX  [264273359-001] C  $106,724
                 : LIFEPATH INDEX 2025  [264020456-001] C  $58,226
                 : LIFEPATH INDEX 2030  [264020542-001] C  $424,449
                 : LIFEPATH INDEX 2035  [264020637-001] C  $797,455
                 : LIFEPATH INDEX 2040  [264020715-001] C  $1,437,296
                 : LIFEPATH INDEX 2045  [264020794-001] C  $1,479,096
                 : LIFEPATH INDEX 2050  [264020887-001] C  $982,237
                 : LIFEPATH INDEX 2055  [264020281-001] C  $914,617
                 : LIFEPATH INDEX 2060  [471878775-001] C  $348,291
                 : LIFEPATH INDEX 2065  [841915237-001] C  $47,161
                 : LIFEPATH INDEX RETIREMENT  [264019464-001] C  $71,760
                 : SMALL CAP EQUITY INDEX  [264299570-001] C  $19,569
                 : TOTAL US EQUITY INDEX  [270862122-001] C  $8,579
                 : US BOND INDEX  [264086131-001] C  $30,203
           - DODGE & COX
                 : DODGE & COX INCOME  [941441976-001] C  $6,604
           = SUBTOTAL       $      6,761,263
           = OTHER          $        224,698
    2022    https://efast2-filings-public.s3.amazonaws.com/prd/2023/6/16/20230616072022NAL0025595587001.pdf
        Participants: 553  Average: $8,250
        Assets: $4,562,508
        Contributions - employee: $   1,379 per participant
                      - employer: $   1,441 per participant
        Loans                   : $         per participant
        Service Providers:
           - FIDELITY INVESTMENTS INSTL OPS CO : $0  RECORDKEEPER (Recordkeeping fees)
        Available Investments:
           - BLACKROCK INSTITUTIONAL TRUST COMPANY NA
                 : INTERNATIONAL EQUITY INDEX  [263816235-001] C  $19,725
                 : LARGE CAP EQUITY INDEX  [264273359-001] C  $88,935
                 : LIFEPATH INDEX 2025  [264020456-001] C  $40,604
                 : LIFEPATH INDEX 2030  [264020542-001] C  $299,893
                 : LIFEPATH INDEX 2035  [264020637-001] C  $611,534
                 : LIFEPATH INDEX 2040  [264020715-001] C  $970,429
                 : LIFEPATH INDEX 2045  [264020794-001] C  $941,213
                 : LIFEPATH INDEX 2050  [264020887-001] C  $587,685
                 : LIFEPATH INDEX 2055  [264020281-001] C  $521,676
                 : LIFEPATH INDEX 2060  [471878775-001] C  $166,051
                 : LIFEPATH INDEX 2065  [841915237-001] C  $13,750
                 : LIFEPATH INDEX RETIREMENT  [264019464-001] C  $61,332
                 : SMALL CAP EQUITY INDEX  [264299570-001] C  $13,675
                 : TOTAL US EQUITY INDEX  [270862122-001] C  $5,801
                 : US BOND INDEX  [264086131-001] C  $22,321
           - DODGE & COX
                 : DODGE & COX INCOME  [941441976-001] C  $4,124
           - WELLINGTON TRUST COMPANY, NA
                 : WELLINGTON MID CAP OPPS  [042755549-001] C  $8,380
           = SUBTOTAL       $      4,377,128
           = OTHER          $        185,380
    2021    https://efast2-filings-public.s3.amazonaws.com/prd/2022/7/1/20220701143756NAL0020713970001.pdf
        Participants: 564  Average: $8,982
        Assets: $5,065,973
        Contributions - employee: $   1,234 per participant
                      - employer: $     323 per participant
        Loans                   : $         per participant
        Service Providers:
           - FIDELITY INVESTMENTS INSTL OPS CO : $0  RECORDKEEPER (Recordkeeping fees)
        Available Investments:
           - BLACKROCK INSTITUTIONAL TRUST COMPANY NA
                 : INTERNATIONAL EQUITY INDEX  [263816235-001] C  $166
                 : LARGE CAP EQUITY INDEX  [264273359-001] C  $84,029
                 : LIFEPATH INDEX 2025  [264020456-001] C  $54,010
                 : LIFEPATH INDEX 2030  [264020542-001] C  $367,014
                 : LIFEPATH INDEX 2035  [264020637-001] C  $572,196
                 : LIFEPATH INDEX 2040  [264020715-001] C  $1,142,379
                 : LIFEPATH INDEX 2045  [264020794-001] C  $1,138,101
                 : LIFEPATH INDEX 2050  [264020887-001] C  $754,579
                 : LIFEPATH INDEX 2055  [264020281-001] C  $535,700
                 : LIFEPATH INDEX 2060  [471878775-001] C  $186,333
                 : LIFEPATH INDEX 2065  [841915237-001] C  $5,642
                 : LIFEPATH INDEX RETIREMENT  [264019464-001] C  $75,246
                 : SMALL CAP EQUITY INDEX  [264299570-001] C  $88
                 : TOTAL US EQUITY INDEX  [270862122-001] C  $3,751
                 : US BOND INDEX  [264086131-001] C  $3,020
           - DODGE & COX
                 : DODGE & COX INCOME  [941441976-001] C  $3,157
           - WELLINGTON TRUST COMPANY, NA
                 : WELLINGTON MID CAP OPPS  [042755549-001] C  $8,563
           = SUBTOTAL       $      4,933,974
           = OTHER          $        131,999
    2020  [codes: 3C2E2G2F2T]    https://efast2-filings-public.s3.amazonaws.com/prd/2021/6/18/20210618135056NAL0002809075001.pdf
        Participants: 578  Average: $6,428
        Assets: $3,715,716
        Contributions - employee: $   1,035 per participant
                      - employer: $     210 per participant
        Loans                   : $         per participant
        Service Providers:
           - FIDELITY INVESTMENTS INSTL OPS : $0  RECORDKEEPER (Recordkeeping fees)
        Available Investments:
           - BLACKROCK INSTITUTIONAL TRUST COMPANY NA
                 : INTERNATIONAL EQUITY INDEX  [263816235-001] C  $334
                 : LARGE CAP EQUITY INDEX  [264273359-001] C  $25,631
                 : LIFEPATH INDEX 2025  [264020456-001] C  $39,550
                 : LIFEPATH INDEX 2030  [264020542-001] C  $300,600
                 : LIFEPATH INDEX 2035  [264020637-001] C  $415,313
                 : LIFEPATH INDEX 2040  [264020715-001] C  $846,845
                 : LIFEPATH INDEX 2045  [264020794-001] C  $849,001
                 : LIFEPATH INDEX 2050  [264020887-001] C  $512,931
                 : LIFEPATH INDEX 2055  [264020281-001] C  $350,141
                 : LIFEPATH INDEX 2060  [471878775-001] C  $88,881
                 : LIFEPATH INDEX 2065  [841915237-001] C  $662
                 : LIFEPATH INDEX RETIREMENT  [264019464-001] C  $123,571
                 : SMALL CAP EQUITY INDEX  [264299570-001] C  $354
                 : TOTAL US EQUITY INDEX  [270862122-001] C  $2,844
                 : US BOND INDEX  [264086131-001] C  $25,507
           - WELLINGTON TRUST COMPANY, NA
                 : WELLINGTON MID CAP OPPS  [042755549-001] C  $6,743
           = SUBTOTAL       $      3,588,908
           = OTHER          $        126,808
    2019    https://efast2-filings-public.s3.amazonaws.com/prd/2020/6/22/20200622073019NAL0000684929001.pdf
        Participants: 563  Average: $6,092
        Assets: $3,430,065
        Contributions - employee: $     977 per participant
                      - employer: $     151 per participant
        Loans                   : $         per participant
        Available Investments:
           - BLACKROCK INSTITUTIONAL TRUST COMPANY NA
                 : INTERNATIONAL EQUITY INDEX  [263816235-001] C  $16,954
                 : LARGE CAP EQUITY INDEX  [264273359-001] C  $42,950
                 : LIFEPATH INDEX 2025  [264020456-001] C  $15,287
                 : LIFEPATH INDEX 2030  [264020542-001] C  $317,787
