PIERCE ATWOOD LLP | ME | PORTLAND | 010190452
RYAN INCORPORATED CENTRAL | WI | JANESVILLE | 391512084
ASSOCIATED TRUST COMPANY, N.A. | WI | MANITOWOC | 391564826
VENTUREDYNE LTD | WI | PEWAUKEE | 391568252
VON BRIESEN & ROPER, S.C. | WI | MILWAUKEE | 391576289
DEWITT LLP | WI | MADISON | 391804522
HARLEY-DAVIDSON MOTOR COMPANY GROUP, LLC | WI | MILWAUKEE | 391805420
ARTISAN PARTNERS HOLDINGS LP | WI | MILWAUKEE | 391807188
CRABEL CAPITAL MANAGEMENT, LLC | WI | MILWAUKEE | 391903915
ALLIANT ENERGY CORPORATE SERVICES | WI | MADISON | 391914946
NATIONAL INVESTMENT SERVICES OF AMERICA, LLC | WI | MILWAUKEE | 392021943
OLDENBURG GROUP INCORPORATED | WI | GLENDALE | 392036526
WEC ENERGY GROUP, INC. | WI | MILWAUKEE | 396036268
ROBERT W. BAIRD & CO., INC. | WI | MILWAUKEE | 396037917
SENTRY LIFE INSURANCE COMPANY | WI | STEVENS POINT | 396040276
TRUSTAGE FINANCIAL GROUP, INC. | WI | MADISON | 396053142
ASSOCIATED TRUST COMPANY, N.A. | WI | NEENAH | 396204063
ASSOCIATED TRUST COMPANY, N.A. | WI | NEENAH | 396476047
BMO BANK N.A., TRUSTEE FOR ONEAMERICA STABLE VALUE FUND | WI | MILWAUKEE | 396490536
ASSOCIATED TRUST COMPANY, N.A. | WI | NEENAH | 396571683
ALTA TRUST COMPANY | SD | SIOUX FALLS | 396741963
ASSOCIATED TRUST COMPANY, N.A. | WI | NEENAH | 396771932
ASSOCIATED TRUST COMPANY, N.A. | WI | NEENAH | 396771933
ASSOCIATED TRUST COMPANY, N.A. | WI | NEENAH | 396771934
ASSOCIATED TRUST COMPANY, N.A. | WI | NEENAH | 396771935
ASSOCIATED TRUST COMPANY, N.A. | WI | NEENAH | 396771936
ASSOCIATED TRUST COMPANY, N.A. | WI | NEENAH | 396771937
AMERIPRISE TRUST COMPANY | MN | MINNEAPOLIS | 410007957
CONNEXUS ENERGY | MN | RAMSEY | 410128105
BEST & FLANAGAN LLP | MN | MINNEAPOLIS | 410150277
BLANDIN PAPER COMPANY | IL | NAPERVILLE | 410154230
DAKOTA ELECTRIC ASSOCIATION | MN | FARMINGTON | 410212180
DORSEY AND WHITNEY LLP | MN | MINNEAPOLIS | 410223337
FAEGRE DRINKER BIDDLE & REATH LLP | MN | MINNEAPOLIS | 410244008
LAND O'LAKES, INC. | MN | SAINT PAUL | 410365145
MACARTHUR COMPANY | MN | SAINT PAUL | 410388120
MINNESOTA LIFE INSURANCE COMPANY | MN | SAINT PAUL | 410417830
FIDUCIARY COUNSELLING, INC. | MN | ST. PAUL | 410445819
XCEL ENERGY INC | MN | MINNEAPOLIS | 410448030
WELLS FARGO & COMPANY | CA | SAN FRANCISCO | 410449260
SUPERVALU INC. | MN | MINNEAPOLIS | 410617000
MASLON LLP | MN | MINNEAPOLIS | 410648239
ROBINS KAPLAN LLP | MN | MINNEAPOLIS | 410719631
MEAGHER & GEER, P.L.L.P. | MN | MINNEAPOLIS | 410726610
MEDTRONIC | MN | MINNEAPOLIS | 410793183
SCHWAB-VOLLHABER-LUBRATT, INC. | MN | ROSEVILLE | 410911364
MIDWEST RADIOLOGY, P.A. | MN | ROSEVILLE | 410916626
THE ORTHOPAEDIC AND FRACTURE CLINIC, P.A. | MN | MANKATO | 410940705
MOSS & BARNETT, A PROFESSIONAL ASSOCIATION | MN | MINNEAPOLIS | 410943845
EMERGENCY PHYSICIANS PROFESSIONAL ASSOCIATION | MN | BLOOMINGTON | 410949999
EAR, NOSE & THROAT SPECIALTYCARE OF MINNESOTA, P.A. | MN | ST LOUIS PARK | 410951475
LARKIN HOFFMAN DALY & LINDGREN LTD | MN | MINNEAPOLIS | 410953357
ALEXANDRIA CLINIC, P.A. | MN | ALEXANDRIA | 410953818
NORTH CLINIC, P.A. DBA VOYAGE HEALTHCARE | MN | BROOKLYN PARK | 410955922
MINNEAPOLIS RADIOLOGY ASSOCIATES, LTD. | MN | PLYMOUTH | 410960371
SOUTHDALE PEDIATRIC ASSOCIATES, LTD. | MN | EDINA | 410962307
FREDRIKSON & BYRON, PA | MN | MINNEAPOLIS | 410971937
CONSULTING RADIOLOGISTS, LTD. | MN | EDEN PRAIRIE | 410974675
NORAN NEUROLOGICAL CLINIC, P.A. | MN | MINNEAPOLIS | 410984062
FELHABER, LARSON, FENLON,VOGT, P.A. | MN | MINNEAPOLIS | 410991071
MERCHANT AND GOULD P.C. | MN | MINNEAPOLIS | 410991388
TRAVELERS COMPANIES, INC. | MN | ST. PAUL | 411336475
LAKEVIEW CLINIC, LTD. | MN | WACONIA | 411340895
OLSEN THIELEN & CO., LTD | MN | ROSEVILLE | 411360831
ALLIANZ LIFE INSURANCE COMPANY OF NORTH AMERICA | MN | MINNEAPOLIS | 411366075
HENKEL OF AMERICA, INC. | CT | STAMFORD | 411372525
RBC GLOBAL ASSET MANAGEMENT (U.S.) INC. | MN | MINNEAPOLIS | 411460668
METROPOLITAN ANESTHESIA NETWORK, LLP | MN | PLYMOUTH | 411524692
MINNEAPOLIS RADIATION ONCOLOGY PHYSICIANS, P.A. | MN | EDINA | 411574985
NEXEN GROUP INC. | MN | VADNAIS HEIGHTS | 411669760
NORTHROP GRUMMAN CORPORATION | VA | FALLS CHURCH | 411683428
WINTHROP & WEINSTINE, P.A. | MN | MINNEAPOLIS | 411722524
NRG ENERGY | NJ | PRINCETON | 411724239
GENERAL MILLS, INC. | MN | MINNEAPOLIS | 411738267
SCHWEGMAN LUNDBERG & WOESSNER, P.A. | MN | MINNEAPOLIS | 411765559
NILAN JOHNSON LEWIS PA | MN | MINNEAPOLIS | 411848848
SECURIAN FINANCIAL GROUP, INC. | MN | SAINT PAUL | 411919752
GREAT RIVER ENERGY | MN | MAPLE GROVE | 411924988
GENERAL MILLS, INC. | MN | MINNEAPOLIS | 411939866
ENTERGY CORPORATION | LA | NEW ORLEANS | 412062510
PEPSICO, INC. | NY | PURCHASE | 412205169
TEAMSTERS UNION LOCAL 970 PENSION COMMITTEE | MN | MINNEAPOLIS | 416127987
SEI TRUST COMPANY | PA | OAKS | 416202499
SEI TRUST COMPANY | PA | OAKS | 416292499
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS | DC | WASHINGTON | 416511223
VISION INTEGRATED PARTNERS LLC | FL | LAKE WORTH | 420127290
BANKERS TRUST COMPANY | IA | DES MOINES | 420127385
ATHENE ANNUITY & LIFE COMPANY | IA | WEST DES MOINES | 420175020
PELLA CORPORATION | IA | PELLA | 420497670
SIMMONS PERRINE MOYER BERGMAN PLC | IA | CEDAR RAPIDS | 420665669
BROWN, WINICK, GRAVES, GROSS AND BASKERVILLE, P.L.C. | IA | DES MOINES | 420704554
DEWILD GRANT RECKERT & ASSOCIATES | IA | ROCK RAPIDS | 420895249
MASSACHUSETTS FIDELITY TRUST COMPANY | IA | CEDAR RAPIDS | 420947998
LENNOX INTERNATIONAL INC. | TX | RICHARDSON | 420991521
MASON CITY CLINIC - LIFE AD&D | IA | MASON CITY | 421009288
NYEMASTER, GOODE, WEST, HANSELL, & O'BRIEN | IA | DES MOINES | 421154516
DENTONS DAVIS BROWN P.C. | IA | DES MOINES | 421343884
DANFOSS POWER SOLUTIONS (US) COMPANY | IA | AMES | 421345015
CUNA MUTUAL GROUP | WI | MADISON | 421427107
IOWA HEALTH SYSTEM | IA | WEST DES MOINES | 421435199
RADIOLOGY CONSULTANTS OF IOWA, PLC | IA | CEDAR RAPIDS | 421480598
PRINCIPAL FINANCIAL GROUP, INC. | IA | DES MOINES | 421520346
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 421599620
EATON VANCE TRUST COMPANY | IL | CHICAGO | 421701287
AMALGAMATED BANK | NY | NEW YORK | 422032992
BANKERS TRUST COMPANY | IA | DES MOINES | 426479996
EMERSON ELECTRIC COMPANY | MO | SAINT LOUIS | 430259330
BRYAN CAVE LEIGHTON PAISNER LLP | MO | SAINT LOUIS | 430602162
THOMPSON COBURN LLP | MO | ST. LOUIS | 430666662
LR-STL, LLC | MO | ST. LOUIS | 430680427
DAIRY FARMERS OF AMERICA, INC. | KS | KANSAS CITY | 430905874
WEST COUNTY RADIOLOGICAL GROUP, INC | MO | ST. LOUIS | 430917818
LATHROP GPM LLP | MO | KANSAS CITY | 430948710
WESTERN ANESTHESIOLOGY ASSOCIATES, INC. | MO | BALLWIN | 430959561
ANESTHESIA ASSOCIATES OF KANSAS CITY, P.A. | KS | OVERLAND PARK | 430975680
GARNEY HOLDING COMPANY | MO | NORTH KANSAS CITY | 430990829
MELTON MACHINE & CONTROL COMPANY | MO | WASHINGTON | 430993570
BENEFIT TRUST COMPANY | KS | OVERLAND PARK | 430995254
PHELPS COUNTY BANCSHARES, INC. | MO | ROLLA | 431146028
ALLGEIER, MARTIN & ASSOCIATES, INC. | MO | JOPLIN | 431146318
BROWN & JAMES PC | MO | SAINT LOUIS | 431235718
FIRST STATE BANCORP, INC. | MO | CARUTHERSVILLE | 431281074
AT&T INC. | TX | DALLAS | 431301883
LMI AEROSPACE, INC. | MO | ST. CHARLES | 431309065
ALBERICI CORPORATION | MO | ST LOUIS | 431387500
MISSOURI CARDIOVASCULAR SPECIALISTS, LLP | MO | COLUMBIA | 431566193
KAISER MIDWEST, INC. | MO | MARBLE HILL | 431597251
GILMORE & BELL, P.C. | MO | KANSAS CITY | 431611738
METRO-WEST ANESTHESIA GROUP, INC. | MO | CHESTERFIELD | 431648309
UNITED OF OMAHA INSURANCE COMPANY | NE | OMAHA | 431795138
JANUS CAPITAL GROUP INC. | CO | DENVER | 431804048
PULITZER, INC. | IA | DAVENPORT | 431819711
CHILDREN'S HOSPITAL PEDIATRIC ASSOCIATES, INC. | MA | BOSTON | 431987409
OAK HILL CAPITAL MANAGEMENT, LLC | CT | STAMFORD | 432059713
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 432083129
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 432083130
NAVISTAR, INC. | IL | LISLE | 436830613
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 436887641
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 436921340
HALLMARK CARDS, INC. | MO | KANSAS CITY | 440272180
LESTER E. COX MEDICAL CENTERS | MO | SPRINGFIELD | 440577118
SHOOK HARDY & BACON L.L.P. | MO | KANSAS CITY | 440585497
PETERSON MANUFACTURING COMPANY | MO | GRANDVIEW | 440607507
AMERICAN CENTURY SERVICES, LLC | MO | KANSAS CITY | 440619208
STINSON LLP | MO | KANSAS CITY | 440643135
NCM ASSOCIATES, INC. | MO | KANSAS CITY | 440648371
AMERICAN STATE BANK & TRUST COMPANY | ND | WILLISTON | 450103542
CASS COUNTY ELECTRIC COOPERATIVE, INC. | ND | FARGO | 450115790
ALERUS FINANCIAL | ND | GRAND FORKS | 450140105
BASIN ELECTRIC POWER COOPERATIVE | ND | BISMARCK | 450277395
VOGEL LAW FIRM | ND | FARGO | 450348495
DAKOTA GASIFICATION COMPANY | ND | BISMARK | 450409140
ALERUS FINANCIAL | ND | GRAND FORKS | 450417057
SEI TRUST COMPANY | PA | OAKS | 451285328
SEI TRUST COMPANY | PA | OAKS | 451286900
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 451538506
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 451743707
LAZARD ASSET MANAGEMENT LLC | MO | KANSAS CITY | 452146398
SEI TRUST COMPANY | PA | OAKS | 452193092
LAZARD ASSET MANAGEMENT LLC | MO | KANSAS CITY | 452371444
JOHN HANCOCK TRUST COMPANY COLLECTIVE INVESTMENT TRUST I | MA | BOSTON | 452395022
PARAMETRIC PORTFOLIO ASSOCIATES LLC | MN | MINNEAPOLIS | 452531297
THE SWAN GROUP, LLC | MA | RANDOLPH | 452558188
PRINCIPAL GLOBAL INVESTORS TRUST COMPANY | OR | PORTLAND | 452645975
EMERGENCY MEDICAL ASSOCIATES OF TAMPA BAY, LLC | FL | TAMPA | 452773050
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452777766
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452790976
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452791033
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452791065
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452795948
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452795992
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452796042
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452796084
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452796126
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452829112
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452829163
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452829211
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452837597
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452837638
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452837704
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452837751
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452837784
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452849545
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452849592
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452849635
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452858930
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452858957
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452859039
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452859078
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452859118
SEI TRUST COMPANY | PA | OAKS | 452869040
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452873150
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452873215
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452912262
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 452978283
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452991040
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 452991106
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 453003140
SEI TRUST COMPANY | PA | OAKS | 453036258
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 453221265
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 453221294
TRIAD NATIONAL SECURITY, LLC | NM | LOS ALAMOS | 453246495
LAWRENCE LIVERMORE NATIONAL SECURITY LLC | CA | LIVERMORE | 453246656
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 453263177
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 453263231
FORTUNE BRANDS INNOVATIONS, INC. | IL | DEERFIELD | 453265619
XYLEM, INC. | NY | RYE BROOK | 453304527
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 453340411
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 453340524
DIAGEO NORTH AMERICA, INC. | NY | NEW YORK | 453436043
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 453460139
FORTUNE BRANDS INNOVATIONS, INC. | IL | DEERFIELD | 453505568
BECHTEL PLANT MACHINERY, INC. | PA | MONROEVILLE | 453559445
WESTERN ASSET MANAGEMENT COMPANY, LLC | CA | PASADENA | 453614386
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 453620007
LAZARD ASSET MANAGEMENT LLC | MO | KANSAS CITY | 453626181
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 453642753
HIGHMARK HEALTH | PA | PITTSBURGH | 453674900
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 453699921
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 453699947
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 453699973
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 453710109
ADAMS STREET PARTNERS, LLC | IL | CHICAGO | 453710222
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 453710320
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 453718222
WESTERN ASSET MANAGEMENT COMPANY, LLC | CA | PASADENA | 453720333
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 453763741
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 453782467
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 453799212
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 453799419
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 453799736
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 453822128
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 453822151
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 453856099
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 453856189
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 453856224
BOARDMAN & CLARK LLP | WI | MADISON | 453866466
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 454173185
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454340713
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454340963
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454341026
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454352603
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454352674
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454352742
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454352930
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454365907
SEI TRUST COMPANY | PA | OAKS | 454367155
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454368878
ARDAGH GLASS INC. | IN | FISHERS | 454375328
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454378115
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454379242
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454382843
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454395662
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454395752
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454395872
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454395954
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454396038
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454407507
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454425439
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454431087
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454431141
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454488541
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454488645
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454488675
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454495259
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454495316
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454495388
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454495434
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454495477
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 454516450
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454521712
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454522143
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454522244
HARTFORD HEALTHCARE CORPORATION | CT | FARMINGTON | 454530568
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454532276
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454532325
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454532383
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454532440
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454532483
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454543968
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454544033
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454544245
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454544304
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454544365
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454552994
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454639752
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454639908
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454639950
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 454640003
WESTERN ASSET MANAGEMENT COMPANY, LLC | CA | PASADENA | 454652505
WESTERN ASSET MANAGEMENT COMPANY, LLC | CA | PASADENA | 454652841
SEI TRUST COMPANY | PA | OAKS | 454659990
ULLICO INVESTMENT ADVISORS INC | MD | SILVER SPRING | 454662864
DIVERSIFIED TRUST COMPANY | TN | MEMPHIS | 454726324
NATIONAL INVESTMENT SERVICES OF AMERICA, LLC | WI | MILWAUKEE | 454783986
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 454795637
BON SECOURS MERCY HEALTH, INC. | OH | CINCINNATI | 454941647
WELLINGTON TRUST COMPANY, NA | MA | BOSTON | 454997118
PRINCIPAL GLOBAL INVESTORS TRUST COMPANY | OR | PORTLAND | 455114041
MONROE ENERGY, LLC | PA | TRAINER | 455201144
ULLICO INVESTMENT ADVISORS INC. | MD | SILVER SPRING | 455209095
BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A. | CA | SAN FRANCISCO | 455229287
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 455354062
SEI TRUST COMPANY | PA | OAKS | 455393186
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 455436422
SEI TRUST COMPANY | PA | OAKS | 455441504
VANGUARD FIDUCIARY TRUST COMPANY | PA | MALVERN | 455455475
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 455488675
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 455590883
JPMORGAN CHASE BANK, N.A. | NY | NEW YORK | 455595944
NORTHERN TRUST INVESTMENTS, INC. | IL | CHICAGO | 456138589
NORTHERN TRUST INVESTMENTS, INC. | IL | CHICAGO | 456138591
NORTHERN TRUST INVESTMENTS, INC. | IL | CHICAGO | 456138592
NORTHERN TRUST INVESTMENTS, INC. | IL | CHICAGO | 456138593
NORTHERN TRUST INVESTMENTS, INC. | IL | CHICAGO | 456138594
NORTHERN TRUST INVESTMENTS, INC. | IL | CHICAGO | 456138596
MERCER TRUST COMPANY LLC | MA | BOSTON | 456178743
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 456204294
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 456204326
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 456204345
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 456204398
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 456204416
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 456204431
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 456268981
CIGNA HOLDING COMPANY | PA | PHILADELPHIA | 456273276
THE BANK OF NEW YORK MELLON | PA | PITTSBURGH | 456339361
THE BANK OF NEW YORK MELLON | PA | PITTSBURGH | 456339397
BELL BANK | ND | FARGO | 456348038
STATE STREET GLOBAL ADVISORS TRUST COMPANY | MA | BOSTON | 456487105
ARROWSTREET CAPITAL, LIMITED PARTNERSHIP | MA | BOSTON | 456500555
NORTHERN TRUST INVESTMENTS, INC. | IL | CHICAGO | 456626196
NORTHERN TRUST INVESTMENTS, INC. | IL | CHICAGO | 456626214
SEI TRUST COMPANY | PA | OAKS | 456648614
SEI TRUST COMPANY | PA | OAKS | 456648640
SEI TRUST COMPANY | PA | OAKS | 456648658
COMERICA BANK & TRUST, NATIONAL ASSOCIATION | MI | DETROIT | 456651883
COMERICA BANK & TRUST, NATIONAL ASSOCIATION | MI | DETROIT | 456755963
THE BANK OF NEW YORK MELLON | PA | PITTSBURGH | 456800208
SEI TRUST COMPANY | PA | OAKS | 456924923
WEC ENERGY GROUP, INC. | WI | MILWAUKEE | 456948361
WELLS FARGO BANK, N.A. | MN | MINNEAPOLIS | 457008802
